"dia","Declinación Solar","Radiación Solar","Hora Solar "
"1.00","-23.011636727869","4937.4375538747",""
"2.00","-22.930543608308","4937.4303362117",""
"3.00","-22.842655673793","4937.4183091499",""
"4.00","-22.747998967418","4937.401476253",""
"5.00","-22.646601538006","4937.379842509",""
"6.00","-22.538493431805","4937.3534143285",""
"7.00","-22.42370668358","4937.3221995428",""
"8.00","-22.302275307121","4937.2862074013",""
"9.00","-22.174235285166","4937.2454485695",""
"10.00","-22.039624558737","4937.1999351249",""
"11.00","-21.898483015898","4937.1496805543",""
"12.00","-21.750852479932","4937.0946997491",""
"13.00","-21.596776696955","4937.0350090013",""
"14.00","-21.436301322946","4936.9706259986",""
"15.00","-21.269473910222","4936.901569819",""
"16.00","-21.096343893345","4936.8278609255",""
"17.00","-20.916962574476","4936.7495211595",""
"18.00","-20.731383108172","4936.6665737348",""
"19.00","-20.539660485633","4936.5790432304",""
"20.00","-20.341851518409","4936.4869555837",""
"21.00","-20.138014821568","4936.3903380821",""
"22.00","-19.928210796321","4936.2892193555",""
"23.00","-19.712501612129","4936.1836293676",""
"24.00","-19.490951188278","4936.0735994069",""
"25.00","-19.263625174942","4935.9591620777",""
"26.00","-19.030590933723","4935.8403512902",""
"27.00","-18.791917517696","4935.7172022507",""
"28.00","-18.547675650946","4935.5897514509",""
"29.00","-18.29793770761","4935.4580366571",""
"30.00","-18.042777690428","4935.3220968994",""
"31.00","-17.782271208822","4935.1819724596",""
"32.00","-17.516495456484","4935.0377048596",""
"33.00","-17.245529188505","4934.889336849",""
"34.00","-16.969452698039","4934.7369123924",""
"35.00","-16.688347792508","4934.5804766566",""
"36.00","-16.402297769361","4934.4200759967",""
"37.00","-16.111387391395","4934.255757943",""
"38.00","-15.815702861633","4934.0875711865",""
"39.00","-15.515331797781","4933.9155655645",""
"40.00","-15.21036320627","4933.739792046",""
"41.00","-14.900887455875","4933.5603027165",""
"42.00","-14.586996250938","4933.3771507625",""
"43.00","-14.2687826042","4933.190390456",""
"44.00","-13.94634080923","4933.0000771379",""
"45.00","-13.619766412492","4932.8062672024",""
"46.00","-13.289156185027","4932.6090180794",""
"47.00","-12.954608093781","4932.4083882181",""
"48.00","-12.616221272573","4932.2044370695",""
"49.00","-12.274095992722","4931.9972250687",""
"50.00","-11.928333633332","4931.7868136171",""
"51.00","-11.579036651251","4931.5732650641",""
"52.00","-11.226308550715","4931.3566426889",""
"53.00","-10.870253852672","4931.1370106811",""
"54.00","-10.510978063813","4930.9144341227",""
"55.00","-10.148587645308","4930.6889789678",""
"56.00","-9.7831899812589","4930.4607120236",""
"57.00","-9.4148933468801","4930.2297009306",""
"58.00","-9.0438068764126","4929.9960141423",""
"59.00","-8.6700405307863","4929.7597209052",""
"60.00","-8.2937050650359","4929.5208912381",""
"61.00","-7.914911995482","4929.2795959113",""
"62.00","-7.533773566686","4929.0359064259",""
"63.00","-7.15040271819","4928.7898949923",""
"64.00","-6.7649130510503","4928.541634509",""
"65.00","-6.3774187941748","4928.2911985409",""
"66.00","-5.9880347704746","4928.0386612977",""
"67.00","-5.5968763628395","4927.7840976115",""
"68.00","-5.2040594799477","4927.5275829152",""
"69.00","-4.8097005219191","4927.2691932194",""
"70.00","-4.4139163458241","4927.0090050907",""
"71.00","-4.0168242310557","4926.7470956285",""
"72.00","-3.6185418445774","4926.483542442",""
"73.00","-3.2191872060561","4926.218423628",""
"74.00","-2.8188786528898","4925.9518177467",""
"75.00","-2.4177348051424","4925.6838037992",""
"76.00","-2.0158745303931","4925.4144612039",""
"77.00","-1.6134169085144","4925.1438697728",""
"78.00","-1.2104811963853","4924.872109688",""
"79.00","-0.80718679255339","4924.5992614779",""
"80.00","-0.40365320185434","4924.3254059931",""
"81.00","-5.7459462535214E-15","4924.0506243832",""
"82.00","0.40365320185431","4923.7749980717",""
"83.00","0.80718679255338","4923.4986087327",""
"84.00","1.2104811963853","4923.2215382663",""
"85.00","1.6134169085144","4922.9438687746",""
"86.00","2.0158745303931","4922.6656825368",""
"87.00","2.4177348051423","4922.3870619857",""
"88.00","2.8188786528898","4922.1080896826",""
"89.00","3.2191872060561","4921.8288482928",""
"90.00","3.6185418445774","4921.5494205617",""
"91.00","4.0168242310556","4921.2698892898",""
"92.00","4.4139163458241","4920.9903373082",""
"93.00","4.8097005219191","4920.7108474541",""
"94.00","5.2040594799477","4920.4315025465",""
"95.00","5.5968763628395","4920.1523853613",""
"96.00","5.9880347704746","4919.8735786069",""
"97.00","6.3774187941748","4919.5951648998",""
"98.00","6.7649130510503","4919.31722674",""
"99.00","7.15040271819","4919.0398464865",""
"100.00","7.5337735666859","4918.7631063331",""
"101.00","7.9149119954819","4918.4870882839",""
"102.00","8.2937050650359","4918.211874129",""
"103.00","8.6700405307863","4917.9375454203",""
"104.00","9.0438068764126","4917.6641834473",""
"105.00","9.4148933468801","4917.391869213",""
"106.00","9.7831899812588","4917.1206834101",""
"107.00","10.148587645308","4916.8507063967",""
"108.00","10.510978063813","4916.5820181729",""
"109.00","10.870253852672","4916.3146983568",""
"110.00","11.226308550715","4916.048826161",""
"111.00","11.579036651251","4915.7844803691",""
"112.00","11.928333633332","4915.5217393126",""
"113.00","12.274095992722","4915.2606808473",""
"114.00","12.616221272573","4915.0013823304",""
"115.00","12.954608093781","4914.7439205978",""
"116.00","13.289156185027","4914.4883719407",""
"117.00","13.619766412492","4914.234812084",""
"118.00","13.94634080923","4913.9833161627",""
"119.00","14.2687826042","4913.7339587006",""
"120.00","14.586996250938","4913.4868135877",""
"121.00","14.900887455875","4913.2419540583",""
"122.00","15.21036320627","4912.9994526698",""
"123.00","15.515331797781","4912.7593812803",""
"124.00","15.815702861633","4912.5218110284",""
